belongsto,id,population,latitude,longitude
AS,CN-53,45966239,24.974,101.487
AS,CN-33,54426891,29.1832,120.0934
SA,CO-AMA,79020,-4.216667,-69.933333
SA,CO-ANT,6677930,6.230833,-75.590553
SA,CO-ARA,294206,7.090278,-70.761667
SA,CO-ATL,2722128,10.963889,-74.796387
SA,CO-BOL,2180976,10.4,-75.5
SA,CO-BOY,1242731,5.533333,-73.366667
SA,CO-CAL,1018453,5.070275,-75.513817
SA,CO-BOG,7743955,4.624335,-74.063644
SA,CO-CAQ,410521,1.613889,-75.612778
SA,CO-CAS,435195,5.35,-72.41
SA,CO-CAU,1491937,2.454167,-76.609167
SA,CO-CES,1295387,10.483333,-73.25
SA,CO-CHO,544764,5.692222,-76.658056
SA,CO-COR,1828947,8.75,-75.883333
SA,CO-CUN,3242999,4.862437,-74.058655
SA,CO-GUA,50636,3.865278,-67.923889
SA,CO-GUV,86657,2.566667,-72.633333
SA,CO-HUI,1122622,2.934483,-75.2809
SA,CO-LAG,965718,10.769864,-73.002151
SA,CO-MAG,1427026,11.241944,-74.205278
SA,CO-MET,1063454,4.151382,-73.637688
SA,CO-NAR,1627589,1.806667,-78.764725
SA,CO-NSA,1620318,7.888519,-72.495834
SA,CO-PUT,359127,1.15,-76.6475
SA,CO-QUI,555401,4.535,-75.67569
SA,CO-RIS,961055,4.814278,-75.694558
SA,CO-SAP,63692,12.584722,-81.700556
SA,CO-SAN,2280908,7.133333,-73
SA,CO-SUC,949252,9.295,-75.396111
SA,CO-TOL,1339998,4.433333,-75.233333
SA,CO-VAC,4532152,3.420556,-76.522224
SA,CO-VAU,44712,1.198333,-70.173333
SA,CO-VID,112958,6.183333,-67.466667
EU,DE-BW,11023425,48.783333,9.183333
EU,DE-BY,12997204,48.133333,11.566667
EU,DE-BE,3754418,52.52,13.405
EU,DE-BB,2504040,52.4,13.066667
EU,DE-HB,681032,53.083333,8.8
EU,DE-HH,1830584,53.565278,10.001389
EU,DE-HE,6243262,50.0825,8.24
EU,DE-MV,1611119,52.366667,9.716667
EU,DE-NI,7962775,53.633333,11.416667
EU,DE-NW,17912134,51.233333,6.783333
EU,DE-RP,4073679,50,8.266667
EU,DE-SL,994187,49.233333,7
EU,DE-SN,4081308,51.033333,13.733333
EU,DE-ST,2223081,52.133333,11.616667
EU,DE-SH,2889821,54.323333,10.139444
EU,DE-TH,2151205,50.983333,11.033333
AS,IN-AN,419978,11.7401,92.6586
AS,IN-AP,129364708,15.9129,79.74
AS,IN-AR,1528296,28.218,94.7278
AS,IN-AS,34586234,26.2006,92.9376
AS,IN-BR,119461013,25.0961,85.3131
AS,IN-CH,1126705,30.7333,76.7794
AS,IN-CT,28566990,21.2787,81.8661
AS,IN-DD,586956,20.1809,73.0169
AS,IN-DL,18345784,28.7041,77.1025
AS,IN-GA,1542750,15.2993,74.124
AS,IN-GJ,63907200,22.2587,71.1924
AS,IN-HR,27388008,29.0588,76.0856
AS,IN-HP,7316708,31.1048,77.1734
AS,IN-JK,13914934,33.7782,76.5762
AS,IN-JH,37329128,23.6102,85.2799
AS,IN-KA,66165886,15.3173,75.7139
AS,IN-KL,35330888,10.8505,76.2711
AS,IN-LD,64473,10.57,72.64
AS,IN-MP,82342793,22.9734,78.6569
AS,IN-MH,120837347,19.7515,75.7139
AS,IN-MN,3008546,24.6637,93.9063
AS,IN-ML,2968889,25.467,91.3662
AS,IN-MZ,1205974,23.1645,92.9376
AS,IN-NL,1978502,26.1584,94.5624
AS,IN-OR,45429399,20.9517,85.0985
AS,IN-PY,1375592,11.9416,79.8083
AS,IN-PB,29611935,31.1471,75.3412
AS,IN-RJ,78230816,27.0238,74.2179
AS,IN-SK,610577,27.533,88.5122
AS,IN-TN,38472769,18.1124,79.0193
AS,IN-TR,3673917,23.9408,91.9882
AS,IN-UP,237095024,26.8467,80.9462
AS,IN-UT,10086292,30.0668,79.0193
AS,IN-WB,97694960,22.9868,87.855
EU,IT-AB,1307309,42.35122196,13.39843823
EU,IT-BA,578036,40.63947052,15.80514834
EU,IT-CL,1959050,38.90597598,16.59440194
EU,IT-CA,5766810,40.83956555,14.25084984
EU,IT-RN,4342135,44.49436681,11.3417208
EU,IT-FR,1220291,45.6494354,13.76813649
EU,IT-LA,5502886,41.89277044,12.48366722
EU,IT-LI,1570694,44.41149315,8.9326992
EU,IT-LO,9704151,45.46679409,9.190347404
EU,IT-MA,1541319,43.61675973,13.5188753
EU,IT-MO,313660,41.55774754,14.65916051
EU,IT-BZ,504643,46.49933453,11.35662422
EU,IT-TN,524832,46.06893511,11.12123097
EU,IT-PI,4363916,45.0732745,7.680687483
EU,IT-AP,4052566,41.12559576,16.86736689
EU,IT-SA,1639362,39.21531192,9.110616306
EU,IT-SI,5002904,38.11569725,13.3623567
EU,IT-TO,3672202,43.76923077,11.25588885
EU,IT-UM,884268,43.10675841,12.38824698
EU,IT-AO,126806,45.73750286,7.320149366
EU,IT-VE,4855904,45.43490485,12.33845213
AS,JP-23,7484094,35.18028,136.90667
AS,JP-05,1022839,39.71861,140.1025
AS,JP-02,1308649,40.82444,140.74
AS,JP-12,6224027,35.60472,140.12333
AS,JP-38,1385840,33.84167,132.76611
AS,JP-18,787099,36.06528,136.22194
AS,JP-40,5102871,33.60639,130.41806
AS,JP-07,1913606,37.75,140.46778
AS,JP-21,2032533,35.39111,136.72222
AS,JP-10,1973476,36.39111,139.06083
AS,JP-34,2844963,34.39639,132.45944
AS,JP-01,5383579,43.06417,141.34694
AS,JP-28,5536989,34.69139,135.18306
AS,JP-08,2917857,36.34139,140.44667
AS,JP-17,1154343,36.59444,136.62556
AS,JP-03,1279814,39.70361,141.1525
AS,JP-37,976756,34.34028,134.04333
AS,JP-46,1648752,31.56028,130.55806
AS,JP-14,9127323,35.44778,139.6425
AS,JP-39,728461,33.55972,133.53111
AS,JP-43,1786969,32.78972,130.74167
AS,JP-26,2610140,35.02139,135.75556
AS,JP-24,1815827,34.73028,136.50861
AS,JP-04,2334215,38.26889,140.87194
AS,JP-45,1104377,31.91111,131.42389
AS,JP-20,2099759,36.65139,138.18111
AS,JP-42,1377780,32.74472,129.87361
AS,JP-29,1365008,34.68528,135.83278
AS,JP-15,2305098,37.90222,139.02361
AS,JP-44,1166729,33.23806,131.6125
AS,JP-33,1922181,34.66167,133.935
AS,JP-47,1434138,26.2125,127.68111
AS,JP-27,8838908,34.68639,135.52
AS,JP-41,833245,33.24944,130.29889
AS,JP-11,7261271,35.85694,139.64889
AS,JP-25,1413184,35.00444,135.86833
AS,JP-32,694188,35.47222,133.05056
AS,JP-22,3701181,34.97694,138.38306
AS,JP-09,1974671,36.56583,139.88361
AS,JP-36,756063,34.06583,134.55944
AS,JP-13,13513734,35.68944,139.69167
AS,JP-31,573648,35.50361,134.23833
AS,JP-16,1066883,36.69528,137.21139
AS,JP-30,963850,34.22611,135.1675
AS,JP-06,1122957,38.24056,140.36333
AS,JP-35,1405007,34.18583,131.47139
AS,JP-19,835165,35.66389,138.56833
SA,MX-AGU,1434635,21.8853,-102.2916
SA,MX-BCN,3634868,30.8406,-115.2838
SA,MX-BCS,804708,26.0444,-111.6661
SA,MX-CAM,1000617,19.8301,-90.5349
SA,MX-CHP,3218720,27.0587,-101.7068
SA,MX-CHH,785153,19.1223,-104.0072
SA,MX-DIF,5730367,16.7569,-93.1292
SA,MX-COA,3801487,28.633,-106.0691
SA,MX-COL,9018645,19.4326,-99.1332
SA,MX-DUR,1868996,24.5593,-104.6588
SA,MX-GUA,6228175,21.019,-101.2574
SA,MX-GRO,3657048,17.4392,-99.5451
SA,MX-HID,3086414,20.0911,-98.7624
SA,MX-JAL,8409693,20.6595,-103.3494
SA,MX-MEX,17427790,19.4969,-99.7233
SA,MX-MIC,4825401,19.5665,-101.7068
SA,MX-MOR,2044058,18.6813,-99.1013
SA,MX-NAY,1288571,21.7514,-104.8455
SA,MX-NLE,5610153,25.5922,-99.9962
SA,MX-OAX,4143593,17.0732,-96.7266
SA,MX-PUE,6604451,19.0414,-98.2063
SA,MX-QUE,2279637,20.5888,-100.3899
SA,MX-ROO,1723259,19.1817,-88.4791
SA,MX-SLP,2866142,22.1565,-100.9855
SA,MX-SIN,3156674,25.1721,-107.4795
SA,MX-SON,3074745,29.2972,-110.3309
SA,MX-TAB,2572287,17.8409,-92.6189
SA,MX-TAM,3650602,24.2669,-98.8363
SA,MX-TLA,1380011,19.3139,-98.2404
SA,MX-VER,8539862,19.1738,-96.1342
SA,MX-YUC,2259098,20.7099,-89.0943
SA,MX-ZAC,1666426,22.7709,-102.5832
EU,NL-DR,492167,52.994749,6.563223
EU,NL-FL,416546,52.51764,5.473989
EU,NL-FR,647672,53.20139,5.808588
EU,NL-GE,2071972,51.979818,5.925636
EU,NL-GR,583990,53.216667,6.55
EU,NL-LI,1116137,50.85,5.683333
EU,NL-NB,2544806,51.700196,5.306806
EU,NL-NH,2853359,52.35,4.916667
EU,NL-OV,1156431,52.505751,6.085822
EU,NL-UT,1342158,52.093813,5.119095
EU,NL-ZE,383032,51.50036,3.612964
EU,NL-ZH,3673893,52.083333,4.3
AS,PK-JK,4045366,34.027401,73.947253
AS,PK-BA,12344408,28.328492,65.898403
AS,PK-GB,870347,35.792146,74.982138
AS,PK-IS,2006572,33.665087,73.121219
AS,PK-KP,30523371,34.485332,72.09169
AS,PK-PB,110012442,30.811346,72.139132
AS,PK-SD,47886051,26.009446,68.776807
AP,PLW,17907,7.3,134.37
ME,PSX,5159076,31.50202,34.46697
NA,PAN,4218808,8.538,-80.7821
AP,PNX,8935000,-9.2844,147.0858
SA,PRY,7152703,-23.4425,-58.4438
SA,PE-AMA,421122,-6.216667,-77.85
SA,PE-ANC,1142409,-9.533333,-77.533333
SA,PE-APU,456652,-13.633333,-72.883333
SA,PE-ARE,1480009,-16.398822,-71.536886
SA,PE-AYA,681149,-13.163056,-74.224444
SA,PE-CAJ,2100090,-7.164444,-78.510556
SA,PE-CAL,1010982,-12.033333,-77.133333
SA,PE-CUS,1488112,-13.525,-71.972222
SA,PE-HUV,491278,-12.786389,-74.975556
SA,PE-HUC,854234,-9.929464,-76.239714
SA,PE-ICA,779372,-14.066667,-75.733333
SA,PE-JUN,1512111,-12.066667,-75.216667
SA,PE-LAL,2201112,-8.112,-79.0288
SA,PE-LAM,1250349,-6.762961,-79.836614
SA,PE-LIM,11209103,-12.035,-77.018611
SA,PE-LOR,1028968,-3.75,-73.25
SA,PE-MDD,134105,-12.6,-69.183333
SA,PE-MOQ,178612,-17.2,-70.933333
SA,PE-PAS,301988,-10.686389,-76.2625
SA,PE-PIU,2753890,-5.2,-80.633333
SA,PE-PUN,1690783,-15.843333,-70.023611
SA,PE-SAM,829520,-6.033333,-76.966667
SA,PE-TAC,337583,-18.05556,-70.24833
SA,PE-TUM,234638,-3.566667,-80.45
SA,PE-UCA,489664,-8.383333,-74.55
EU,RU-AD,447109,44.448835,40.254013
EU,RU-ALT,2607426,52.477021,83.868816
EU,RU-ALT,202947,51.95,85.966667
EU,RU-AMU,902844,53.418482,127.711639
EU,RU-ARK,1336539,63.448461,43.404188
EU,RU-AST,1005276,47.116641,47.337406
EU,RU-BA,4104336,54.282013,56.528301
EU,RU-BEL,1511620,50.881793,37.359083
EU,RU-BRY,1378941,52.910301,33.406285
EU,RU-BU,981238,54.550455,112.36994
EU,RU-CE,1103686,43.26872,45.799182
EU,RU-CHE,3603339,54.475139,60.413177
EU,RU-CHU,53824,64.733333,177.516667
EU,RU-CU,1313754,55.507419,47.102483
EU,RU-DA,2576531,43.035568,46.873874
EU,RU-IN,467294,43.40517,44.8203
EU,RU-IRK,2581705,57.084283,106.290867
EU,RU-IVA,1148329,56.999219,41.726645
EU,RU-YEV,190915,48.480815,131.765737
EU,RU-KB,901494,43.346964,43.521389
EU,RU-KGD,955281,54.706026,21.456853
EU,RU-KL,292410,46.421462,45.383808
EU,RU-KLU,1041641,54.355521,35.465025
EU,RU-KAM,358801,61.434398,166.788413
EU,RU-KC,439470,43.884514,41.730394
EU,RU-KR,716281,63.15587,32.990555
EU,RU-KEM,2899142,54.775411,87.209993
EU,RU-KHA,1436570,50.88285,138.828598
EU,RU-KK,546072,53.363558,89.854091
EU,RU-KHM,1432817,61.853095,70.345732
EU,RU-KIR,1503529,58.699332,49.846004
EU,RU-KO,1018674,64.131117,54.772128
EU,RU-KOS,736641,58.452918,43.818089
EU,RU-KDA,5125221,44.412298,39.233582
EU,RU-KYA,2966042,67.008246,95.991218
EU,RU-KGN,1019532,55.471375,64.816337
EU,RU-KRS,1235091,51.702506,36.127326
EU,RU-LEN,1669205,59.999111,31.74764
EU,RU-LIP,1213499,52.634465,39.187179
EU,RU-MAG,182726,62.70596,154.035695
EU,RU-ME,727979,56.601523,47.942953
EU,RU-MO,888766,54.520508,45.58471
EU,RU-MOS,12506468,55.4521,37.372
EU,RU-MOW,7503385,55.42,36.58
EU,RU-MUR,892534,67.805244,34.572247
EU,RU-NEN,41546,68.833333,54.833333
EU,RU-NIZ,3524028,56.279395,44.645749
EU,RU-SE,710275,43.053883,44.325278
EU,RU-NGR,694355,58.280449,32.556615
EU,RU-NVS,2692251,55.268094,79.765183
EU,RU-OMS,2079220,56.091609,73.362497
EU,RU-ORL,860262,52.792407,36.484837
EU,RU-ORE,2179551,52.670841,53.546526
EU,RU-PNZ,1452941,53.186558,44.659811
EU,RU-PER,2819421,59.150725,56.240625
EU,RU-PRI,2071210,45.185147,134.763918
EU,RU-PSK,760810,57.223881,29.258821
EU,RU-ROS,4404013,47.737084,41.33971
